id,state,gender,avg_2009_readingScores,avg_2017_readingScores,readingScores_precentChange
1,AK,Male,206.7242292,203.0513017,3.6729275039999996
3,AL,Male,211.74193050000002,212.8211091,-1.079178604
5,AR,Male,210.97585800000002,211.74262000000002,-0.766762077
7,AZ,Male,206.9136801,213.46267039999998,-6.54899033
9,CA,Male,207.055218,210.7706082,-3.7153901460000003
11,CO,Male,222.255777,221.61640559999998,0.639371467
13,CT,Male,224.53905319999996,225.69884989999997,-1.159796708
15,DC,Male,198.09476619999998,209.7059168,-11.61115065
17,DE,Male,222.87174190000002,217.02140950000003,5.8503324160000005
19,FL,Male,222.52019610000002,226.0874762,-3.567280031
21,GA,Male,214.28571380000002,215.9960475,-1.7103337509999998
23,HI,Male,205.13322390000002,211.96439750000002,-6.8311735989999995
25,IA,Male,216.96943230000002,218.88682480000003,-1.917392481
27,ID,Male,216.5292228,220.3231426,-3.7939197589999996
29,IL,Male,214.8423846,217.19876859999997,-2.35638402
31,IN,Male,218.3968134,224.2207755,-5.823962004
33,KS,Male,222.1581946,220.723398,1.4347965919999999
35,KY,Male,222.3486903,221.9300199,0.41867038799999995
37,LA,Male,202.9714742,210.24742400000002,-7.275949802
39,MA,Male,231.1401318,232.9402589,-1.80012711
41,MD,Male,222.5177629,220.69551069999997,1.8222522140000001
43,ME,Male,219.58023369999998,219.2110349,0.36919883200000003
45,MI,Male,214.3957909,213.58580730000003,0.809983557
47,MN,Male,219.8187462,221.9607287,-2.141982557
49,MO,Male,218.9749832,220.5014873,-1.5265040380000001
51,MS,Male,207.6306934,211.57824509999998,-3.947551653
53,MT,Male,221.7826605,220.22639280000004,1.5562677619999998
55,NC,Male,214.78778430000003,221.1697234,-6.381939055
57,ND,Male,223.1073372,216.68196830000002,6.42536884
59,NE,Male,219.6725023,220.76644700000003,-1.09394473
61,NH,Male,225.85400589999998,227.622395,-1.7683890519999999
63,NJ,Male,227.1098772,228.67674590000001,-1.566868752
65,NM,Male,202.83436890000002,203.95849180000002,-1.124122857
67,NT,Male,217.6064798,218.96578190000002,-1.35930209
69,NV,Male,208.2577906,211.24649399999998,-2.988703366
71,NY,Male,220.7946954,219.0240122,1.77068324
73,OH,Male,221.64348859999998,223.49784759999997,-1.854358999
