id,state,gender,avg_2009_mathScores,avg_2017_mathScores,mathScores_precentChange
1,AK,Male,238.4459925,230.45176030000002,7.994232169
3,AL,Male,227.7181926,232.45857009999997,-4.7403774610000005
5,AR,Male,238.82458259999999,234.9807022,3.8438803860000004
7,AZ,Male,230.2839495,235.6316557,-5.347706172
9,CA,Male,232.6138321,233.26568619999998,-0.6518540429999999
11,CO,Male,243.965015,240.2821937,3.682821273
13,CT,Male,246.40018819999997,241.4876106,4.912577634
15,DC,Male,217.9480023,231.3590099,-13.41100755
17,DE,Male,241.1687191,235.5916588,5.577060342999999
19,FL,Male,242.54442110000002,247.4765145,-4.932093335
21,GA,Male,236.5085199,236.6667509,-0.158230994
23,HI,Male,235.26691949999997,238.0754512,-2.8085316660000004
25,IA,Male,243.3199286,245.0853816,-1.765453055
27,ID,Male,241.9403591,241.64338199999997,0.29697709
29,IL,Male,239.6526887,239.6449667,0.00772193
31,IN,Male,242.98704339999998,248.2432237,-5.256180212
33,KS,Male,246.16167400000003,242.4832381,3.678435871
35,KY,Male,240.03423560000002,240.7846346,-0.7503989609999999
37,LA,Male,230.1209562,228.60418190000001,1.5167743130000002
39,MA,Male,253.4405668,251.55340180000002,1.8871649819999998
41,MD,Male,244.24050970000002,242.0755965,2.164913166
43,ME,Male,246.5404608,240.23484130000003,6.305619527
45,MI,Male,237.5802861,236.8113307,0.768955363
47,MN,Male,251.2868955,250.3992494,0.8876460840000001
49,MO,Male,241.2338228,241.2361641,-0.002341349
51,MS,Male,226.6838904,235.4568755,-8.77298506
53,MT,Male,247.0098734,241.34523969999998,5.664633633999999
55,NC,Male,243.9695966,241.85216719999997,2.11742937
57,ND,Male,246.80884590000002,245.6263482,1.1824977140000001
59,NE,Male,238.75684159999997,247.2209733,-8.464131684
61,NH,Male,252.1974258,247.0152097,5.182216136
63,NJ,Male,248.4270377,248.27456969999997,0.15246807099999998
65,NM,Male,230.6408759,230.41794,0.22293583399999997
69,NV,Male,236.10334029999999,232.0763332,4.027007052
71,NY,Male,241.8842705,237.62465120000002,4.259619374
73,OH,Male,245.4888563,241.41514730000003,4.073708989
75,OK,Male,237.93271040000002,238.72844869999997,-0.7957383259999999
77,OR,Male,239.9242304,235.1656413,4.7585890630000005
79,PA,Male,244.738227,243.3370083,1.401218685
81,RI,Male,240.4065545,238.15398330000002,2.2525711580000003
83,SC,Male,236.12872799999997,234.90540330000002,1.223324692
85,SD,Male,243.4159228,243.7656205,-0.349697708
87,TN,Male,232.1633181,236.9641708,-4.800852742
89,TX,Male,240.8848503,241.0455667,-0.160716382
91,UT,Male,241.3084911,244.4630631,-3.154572013
93,VA,Male,244.65101659999996,250.47927909999999,-5.828262492
95,VT,Male,248.878935,241.32307180000004,7.555863293
97,WA,Male,242.38630099999997,243.2587772,-0.872476157
99,WI,Male,244.67302310000002,241.6846167,2.9884064169999998
101,WV,Male,233.99410730000002,236.527612,-2.533504717
103,WY,Male,242.9470371,249.43175580000002,-6.484718689
