id,state,gender,avg_2009_readingScores,avg_2017_readingScores,readingScores_precentChange
1,AK,Male,206.7242292,203.0513017,3.6729275039999996
3,AL,Male,211.74193050000002,212.8211091,-1.079178604
5,AR,Male,210.97585800000002,211.74262000000002,-0.766762077
7,AZ,Male,206.9136801,213.46267039999998,-6.54899033
9,CA,Male,207.055218,210.7706082,-3.7153901460000003
11,CO,Male,222.255777,221.61640559999998,0.639371467
13,CT,Male,224.53905319999996,225.69884989999997,-1.159796708
15,DC,Male,198.09476619999998,209.7059168,-11.61115065
17,DE,Male,222.87174190000002,217.02140950000003,5.8503324160000005
19,FL,Male,222.52019610000002,226.0874762,-3.567280031
21,GA,Male,214.28571380000002,215.9960475,-1.7103337509999998
23,HI,Male,205.13322390000002,211.96439750000002,-6.8311735989999995
25,IA,Male,216.96943230000002,218.88682480000003,-1.917392481
27,ID,Male,216.5292228,220.3231426,-3.7939197589999996
29,IL,Male,214.8423846,217.19876859999997,-2.35638402
31,IN,Male,218.3968134,224.2207755,-5.823962004
33,KS,Male,222.1581946,220.723398,1.4347965919999999
35,KY,Male,222.3486903,221.9300199,0.41867038799999995
37,LA,Male,202.9714742,210.24742400000002,-7.275949802
39,MA,Male,231.1401318,232.9402589,-1.80012711
41,MD,Male,222.5177629,220.69551069999997,1.8222522140000001
43,ME,Male,219.58023369999998,219.2110349,0.36919883200000003
45,MI,Male,214.3957909,213.58580730000003,0.809983557
47,MN,Male,219.8187462,221.9607287,-2.141982557
49,MO,Male,218.9749832,220.5014873,-1.5265040380000001
51,MS,Male,207.6306934,211.57824509999998,-3.947551653
53,MT,Male,221.7826605,220.22639280000004,1.5562677619999998
55,NC,Male,214.78778430000003,221.1697234,-6.381939055
57,ND,Male,223.1073372,216.68196830000002,6.42536884
59,NE,Male,219.6725023,220.76644700000003,-1.09394473
61,NH,Male,225.85400589999998,227.622395,-1.7683890519999999
63,NJ,Male,227.1098772,228.67674590000001,-1.566868752
65,NM,Male,202.83436890000002,203.95849180000002,-1.124122857
69,NV,Male,208.2577906,211.24649399999998,-2.988703366
71,NY,Male,220.7946954,219.0240122,1.77068324
73,OH,Male,221.64348859999998,223.49784759999997,-1.854358999
75,OK,Male,213.96507730000002,212.8841397,1.08093759
77,OR,Male,214.1195805,212.40314680000003,1.716433742
79,PA,Male,221.3485904,224.1111222,-2.762531848
81,RI,Male,217.8659933,220.60557659999998,-2.7395832610000004
83,SC,Male,213.40612760000002,209.56633200000002,3.8397955460000004
85,SD,Male,219.5269395,219.1506216,0.37631788200000005
87,TN,Male,213.85772519999998,215.29826630000002,-1.4405411469999998
89,TX,Male,215.67111269999998,213.48003340000002,2.191079299
91,UT,Male,216.9301106,221.0767767,-4.1466661160000005
93,VA,Male,222.7808285,226.245481,-3.464652537
95,VT,Male,226.1078339,223.34771800000001,2.760115925
97,WA,Male,217.0907011,220.2532377,-3.1625366539999997
99,WI,Male,216.606254,216.7292028,-0.12294880300000001
101,WV,Male,210.86660419999998,212.89900260000002,-2.032398408
103,WY,Male,219.1295972,224.1985693,-5.068972087
2,AK,Female,215.7112338,211.34334269999997,4.367891116
4,AL,Female,221.1006988,220.0065999,1.094098971
6,AR,Female,221.5645131,220.6330097,0.931503451
8,AZ,Female,213.18922450000002,217.52022689999998,-4.33100246
10,CA,Female,212.63764550000002,220.2931384,-7.655492896
12,CO,Female,229.2295877,228.02043140000004,1.2091563379999999
14,CT,Female,233.50362579999998,231.06940530000003,2.4342204730000003
16,DC,Female,205.74594040000002,217.0726847,-11.32674425
18,DE,Female,228.1886232,226.0044074,2.184215874
20,FL,Female,228.8642131,230.5293065,-1.665093399
22,GA,Female,221.3610349,223.46619819999998,-2.105163282
24,HI,Female,216.66726060000002,221.1629899,-4.495729347
26,IA,Female,225.965448,224.76728390000002,1.198164075
28,ID,Female,225.5082653,225.3600964,0.148168929
30,IL,Female,223.5129821,223.51177090000002,0.001211224
32,IN,Female,227.0696154,228.74029500000003,-1.67067964
34,KS,Female,225.8242076,226.0057583,-0.181550729
36,KY,Female,228.90135469999998,226.27731580000003,2.6240388980000002
38,LA,Female,212.28630139999999,213.0166577,-0.730356232
40,MA,Female,236.3237981,238.5091687,-2.185370567
42,MD,Female,229.43872510000003,229.59108769999997,-0.15236261199999998
44,ME,Female,228.09681609999998,223.5981836,4.498632485
46,MI,Female,222.1448852,221.98642510000002,0.158460188
48,MN,Female,226.9751804,227.14780640000004,-0.172626007
50,MO,Female,229.0948613,224.97627709999998,4.1185841530000005
52,MS,Female,213.47530240000003,218.94522659999998,-5.4699242120000005
54,MT,Female,227.6048386,224.62601899999999,2.978819648
56,NC,Female,224.02092779999998,226.8317849,-2.810857115
58,ND,Female,228.91858919999999,226.69569019999997,2.222899028
60,NE,Female,225.4668601,227.65359229999999,-2.186732215
62,NH,Female,232.6529539,230.2115385,2.441415407
64,NJ,Female,231.69815359999998,237.3914716,-5.693317969
66,NM,Female,212.59483959999997,211.60481069999997,0.990028885
70,NV,Female,213.9765537,218.53305350000002,-4.556499801
72,NY,Female,228.1099483,224.7796747,3.3302736189999997
74,OH,Female,227.3593687,227.09899950000002,0.26036916600000004
76,OK,Female,220.36061439999997,220.40549109999998,-0.044876644
78,OR,Female,222.50049199999998,222.78055460000002,-0.280062568
80,PA,Female,226.13053870000002,225.75630730000003,0.37423140200000005
82,RI,Female,227.78835460000002,226.15168549999999,1.6366690609999999
84,SC,Female,218.5484679,216.90885469999998,1.6396131459999999
86,SD,Female,224.9867318,224.399956,0.5867758129999999
