state,gender,avg_2009_math,avg_2017_math,avg_math_perchg,avg_2009_read,avg_2017_read,avg_read_perchg
MT,Male,247.0098734,241.3452397,5.664633634,221.7826605,220.2263928,1.556267762
MT,Female,241.6644649,240.0414055,1.623059481,227.6048386,224.626019,2.978819648
NC,Male,243.9695966,241.8521672,2.11742937,214.7877843,221.1697234,-6.381939055
NC,Female,243.5792701,240.0058325,3.573437619,224.0209278,226.8317849,-2.810857115
ND,Male,246.8088459,245.6263482,1.182497714,223.1073372,216.6819683,6.42536884
ND,Female,243.5153071,242.7488561,0.766450938,228.9185892,226.6956902,2.222899028
NE,Male,238.7568416,247.2209733,-8.464131684,219.6725023,220.766447,-1.09394473
NE,Female,238.7398143,243.8434197,-5.103605408,225.4668601,227.6535923,-2.186732215
NH,Male,252.1974258,247.0152097,5.182216136,225.8540059,227.622395,-1.768389052
NH,Female,249.8650685,243.5917615,6.273307075,232.6529539,230.2115385,2.441415407
NJ,Male,248.4270377,248.2745697,0.152468071,227.1098772,228.6767459,-1.566868752
NJ,Female,244.5251381,247.4159119,-2.89077376,231.6981536,237.3914716,-5.693317969
NM,Male,230.6408759,230.41794,0.222935834,202.8343689,203.9584918,-1.124122857
NM,Female,229.3881713,228.9597938,0.428377526,212.5948396,211.6048107,0.990028885
NT,Male,240.6176492,240.812409,-0.194759756,217.6064798,218.9657819,-1.35930209
NT,Female,238.6944197,238.5940002,0.10041951,224.3467677,224.9204301,-0.573662396
NV,Male,236.1033403,232.0763332,4.027007052,208.2577906,211.246494,-2.988703366
NV,Female,234.2039974,231.282843,2.921154449,213.9765537,218.5330535,-4.556499801
NY,Male,241.8842705,237.6246512,4.259619374,220.7946954,219.0240122,1.77068324
NY,Female,239.3247083,233.4225455,5.902162768,228.1099483,224.7796747,3.330273619
OH,Male,245.4888563,241.4151473,4.073708989,221.6434886,223.4978476,-1.854358999
OH,Female,241.8739448,240.4299969,1.443947864,227.3593687,227.0989995,0.260369166
OK,Male,237.9327104,238.7284487,-0.795738326,213.9650773,212.8841397,1.08093759
OK,Female,235.6251517,235.8625867,-0.237434957,220.3606144,220.4054911,-0.044876644
OR,Male,239.9242304,235.1656413,4.758589063,214.1195805,212.4031468,1.716433742
OR,Female,235.9717557,231.0436143,4.928141427,222.500492,222.7805546,-0.280062568
PA,Male,244.738227,243.3370083,1.401218685,221.3485904,224.1111222,-2.762531848
PA,Female,242.3648247,239.9799207,2.384904024,226.1305387,225.7563073,0.374231402
RI,Male,240.4065545,238.1539833,2.252571158,217.8659933,220.6055766,-2.739583261
RI,Female,237.00482,236.9472733,0.057546712,227.7883546,226.1516855,1.636669061
SC,Male,236.128728,234.9054033,1.223324692,213.4061276,209.566332,3.839795546
SC,Female,235.1828128,233.1288936,2.053919152,218.5484679,216.9088547,1.639613146
SD,Male,243.4159228,243.7656205,-0.349697708,219.5269395,219.1506216,0.376317882
SD,Female,240.6416357,239.3695192,1.272116411,224.9867318,224.399956,0.586775813
TN,Male,232.1633181,236.9641708,-4.800852742,213.8577252,215.2982663,-1.440541147
TN,Female,231.4680404,236.4169963,-4.948955921,219.6545831,222.6835514,-3.028968374
TX,Male,240.8848503,241.0455667,-0.160716382,215.6711127,213.4800334,2.191079299
TX,Female,240.0262266,240.8321055,-0.805878877,222.1728967,216.385005,5.787891712
UT,Male,241.3084911,244.4630631,-3.154572013,216.9301106,221.0767767,-4.146666116
UT,Female,239.2707128,240.3107748,-1.040062072,221.549557,229.6469348,-8.097377801
VA,Male,244.6510166,250.4792791,-5.828262492,222.7808285,226.245481,-3.464652537
VA,Female,241.4090858,245.4720066,-4.062920797,230.4672902,229.0203004,1.446989828
VT,Male,248.878935,241.3230718,7.555863293,226.1078339,223.347718,2.760115925
VT,Female,246.5994257,240.4434016,6.156024062,231.4772687,229.6473138,1.829954884
WA,Male,242.386301,243.2587772,-0.872476157,217.0907011,220.2532377,-3.162536654
WA,Female,242.1216208,240.0872953,2.034325423,225.733106,226.1011123,-0.36800631
WI,Male,244.6730231,241.6846167,2.988406417,216.606254,216.7292028,-0.122948803
WI,Female,242.4100694,238.9828094,3.427260001,223.8881088,222.7703131,1.117795643
WV,Male,233.9941073,236.527612,-2.533504717,210.8666042,212.8990026,-2.032398408
WV,Female,231.9295391,235.5821776,-3.652638528,218.3040847,221.8400483,-3.535963531
WY,Male,242.9470371,249.4317558,-6.484718689,219.1295972,224.1985693,-5.068972087
WY,Female,240.9895822,246.0675655,-5.077983309,226.4977208,229.6916923,-3.193971487
